date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:06	1311/1311	---M--	200	added ('OK')	image/png	etag:%2211546046-51f-4618e6e3d5cc0%22	http://jquery.jarodxxx.com/images/menu_02.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/menu_02.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:07	1307/1307	---M--	200	added ('OK')	image/png	etag:%2211545d3e-51b-4618e6e3100b0%22	http://jquery.jarodxxx.com/images/menu1_02.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/menu1_02.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:07	1191/1191	---M--	200	added ('OK')	image/png	etag:%221154604a-4a7-4618e6e4042f0%22	http://jquery.jarodxxx.com/images/menu_03.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/menu_03.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:07	1187/1187	---M--	200	added ('OK')	image/png	etag:%2211545d3f-4a3-4618e6e374240%22	http://jquery.jarodxxx.com/images/menu1_03.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/menu1_03.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:07	1270/1270	---M--	200	added ('OK')	image/png	etag:%221154604b-4f6-4618e6e437740%22	http://jquery.jarodxxx.com/images/menu_04.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/menu_04.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:08	1273/1273	---M--	200	added ('OK')	image/png	etag:%2211546041-4f9-4618e6e374240%22	http://jquery.jarodxxx.com/images/menu1_04.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/menu1_04.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:08	412/412	---M--	200	added ('OK')	image/png	etag:%2211546051-19c-4618e6e541910%22	http://jquery.jarodxxx.com/images/morelinks_box_01.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/morelinks_box_01.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:08	2824/2824	---M--	200	added ('OK')	image/png	etag:%2211546053-b08-461b359468ddc%22	http://jquery.jarodxxx.com/images/morelinks_box_02.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/morelinks_box_02.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:08	776/776	---M--	200	added ('OK')	image/png	etag:%221154604e-308-4618e6e4aca40%22	http://jquery.jarodxxx.com/images/morelinks.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/morelinks.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:08	342/342	---M--	200	added ('OK')	image/png	etag:%2211546055-156-4618e6e5ec770%22	http://jquery.jarodxxx.com/images/morelinks_box_03.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/morelinks_box_03.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:09	2931/2931	---M--	200	added ('OK')	image/png	etag:%2211546052-b73-461b395c7721c%22	http://jquery.jarodxxx.com/images/morelinks_active.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/morelinks_active.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:09	110325/110325	---M--	200	added ('OK')	image/jpeg	etag:%22114c598c-1aef5-461ed13523d0f%22	http://jquery.jarodxxx.com/images/banner.jpg	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/banner.jpg	(from http://jquery.jarodxxx.com/manuel/)
15:07:09	291/291	---M--	200	added ('OK')	image/png	etag:%2211545d34-123-4618e6e1191d0%22	http://jquery.jarodxxx.com/images/inner_link.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/inner_link.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:09	9567/9567	---M--	200	added ('OK')	image/jpeg	etag:%2211546058-255f-461b39e31fc9c%22	http://jquery.jarodxxx.com/images/morelinks_hover.jpg	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/morelinks_hover.jpg	(from http://jquery.jarodxxx.com/manuel/)
15:07:09	1981/1981	---M--	200	added ('OK')	image/png	etag:%221154606c-7bd-4618e6e7e5d60%22	http://jquery.jarodxxx.com/images/tickmark.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/tickmark.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:10	533/533	---M--	200	added ('OK')	image/png	etag:%2211545d32-215-4618e6e0c1390%22	http://jquery.jarodxxx.com/images/innerbanner_head.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/innerbanner_head.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:10	274/274	---M--	200	added ('OK')	image/png	etag:%2211545d35-112-4618e6e169ae0%22	http://jquery.jarodxxx.com/images/inner_link1.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/inner_link1.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:10	731/731	---M--	200	added ('OK')	image/png	etag:%22114c5996-2db-4618e6dfc8330%22	http://jquery.jarodxxx.com/images/freereg.png	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/freereg.png	(from http://jquery.jarodxxx.com/manuel/)
15:07:11	597/597	---M--	200	added ('OK')	image/jpeg	etag:%221154605b-255-4618e6e6afc70%22	http://jquery.jarodxxx.com/images/right_01.jpg	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/right_01.jpg	(from http://jquery.jarodxxx.com/manuel/)
15:07:11	579/579	---M--	200	added ('OK')	image/jpeg	etag:%221154605e-243-4618e6e716510%22	http://jquery.jarodxxx.com/images/right_04.jpg	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/right_04.jpg	(from http://jquery.jarodxxx.com/manuel/)
15:07:11	7698/7698	---M--	200	added ('OK')	image/jpeg	etag:%2211546068-1e12-461b35c8453bc%22	http://jquery.jarodxxx.com/images/right_03.jpg	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/right_03.jpg	(from http://jquery.jarodxxx.com/manuel/)
15:07:11	635/635	---M--	200	added ('OK')	image/jpeg	etag:%221154605d-27b-4618e6e6b71a0%22	http://jquery.jarodxxx.com/images/right_02.jpg	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/right_02.jpg	(from http://jquery.jarodxxx.com/manuel/)
15:07:11	33433/33433	---M--	200	added ('OK')	image/jpeg	etag:%2211545d33-8299-461df438a17f9%22	http://jquery.jarodxxx.com/images/inner_banner.jpg	C:/Mes%20Sites%20Web/JqueryDoc/jquery.jarodxxx.com/images/inner_banner.jpg	(from http://jquery.jarodxxx.com/manuel/)
